station_id,lat,lng,DN
SF-A20,37.8044378033431,-122.4335271076696,7.0
SF-AA15,37.720569503986866,-122.4476853584139,71.0
SF-B19,37.8026497587719,-122.43605855964917,8.0
SF-B21,37.80026082230086,-122.42583334034993,23.0
SF-B22,37.80231222943723,-122.4244087132036,30.0
SF-B25,37.80277817451334,-122.4133933782748,10.0
SF-B28,37.80464051547288,-122.40206111273228,2.0
SF-BB17,37.71618507155066,-122.44010657962092,64.0
SF-C20,37.799172934048855,-122.43406312630418,14.0
SF-C21,37.79723313143635,-122.42749884823841,30.0
SF-C22,37.79769541593541,-122.4234388239526,36.0
SF-C25,37.80043482225657,-122.41089615269092,24.0
SF-C26,37.79797399628653,-122.40591404696676,19.0
SF-C28-1,37.79994467152109,-122.39852031553404,1.0
SF-C28-2,37.79864100928796,-122.40087013305413,7.0
SF-D24,37.796433235388044,-122.41684904514295,75.0
SF-D27,37.795350302681925,-122.40470220402261,12.0
SF-E18,37.789584963855425,-122.44068515461856,64.0
SF-E20,37.79063014638941,-122.43252462342721,72.0
SF-E23,37.794136284311335,-122.4216395751184,57.0
SF-F15,37.786620296899926,-122.45339786955016,79.0
SF-F19,37.78850517273856,-122.43538384518874,49.0
SF-F23,37.78820775714287,-122.42049160952378,47.0
SF-F26,37.78839763269353,-122.40843148053554,27.0
SF-F27,37.78895537552738,-122.40349191420508,14.0
SF-F9,37.785106331920936,-122.47762584745749,40.0
SF-G10-1,37.782440183811495,-122.47196284879284,51.0
SF-G10-2,37.7803669088889,-122.47282123111113,53.0
SF-G12,37.78234477267578,-122.46546587275577,56.0
SF-G13,37.78150647013726,-122.45878625215036,65.0
SF-G17,37.783981221726215,-122.44281817113092,56.0
SF-G18,37.78438406375499,-122.43940048995985,43.0
SF-G19,37.78376956173372,-122.43454434209923,40.0
SF-G20,37.78538433532345,-122.43175862636782,43.0
SF-G23,37.785505145093104,-122.4193567330798,36.0
SF-G24,37.78707655021777,-122.41665079591905,44.0
SF-G25,37.78728449350759,-122.41333736664059,37.0
SF-G26,37.78581613349513,-122.40883521197406,17.0
SF-G27,37.786293920065695,-122.40506190496187,14.0
SF-G29-2,37.78714464856566,-122.39446349385229,13.0
SF-G29-3,37.78797999692509,-122.39561926199285,8.0
SF-G5,37.78171937301589,-122.49282906746036,64.0
SF-G6,37.779622439153435,-122.48793993121699,53.0
SF-G7,37.781942037243965,-122.48277552886411,41.0
SF-G8,37.78001732863852,-122.48042927699535,44.0
SF-G9,37.780753507365326,-122.47615142737013,46.0
SF-H0,37.77526658733628,-122.51120953566223,7.0
SF-H12,37.77954506811381,-122.46315432679023,57.0
SF-H13,37.77858086224585,-122.45864889813153,67.0
SF-H14,37.78091968627449,-122.4562839705882,70.0
SF-H15,37.78067348461537,-122.45022815128208,76.0
SF-H16,37.781146430246466,-122.44730676034627,84.0
SF-H17,37.782475170280506,-122.44209250343648,65.0
SF-H18,37.78241488301532,-122.43956973747729,52.0
SF-H19,37.78200470165967,-122.43566093506102,39.0
SF-H20,37.78339157496668,-122.4311132414202,39.0
SF-H25,37.784026266666714,-122.41219142571438,15.0
SF-H29,37.78531814347536,-122.39643365354952,17.0
SF-I16,37.77913146211408,-122.44730703774181,89.0
SF-I19,37.779093736831285,-122.43695441090544,52.0
SF-I20,37.78051051701749,-122.43193644251672,34.0
SF-I21,37.77832544736835,-122.42644341228056,26.0
SF-I22,37.780901649870735,-122.4218461899224,26.0
SF-I23-1,37.78150766666656,-122.41843726260531,23.0
SF-I24,37.778740569038156,-122.41590000711477,18.0
SF-I26-,37.78025627286143,-122.40664662905571,6.0
SF-I30-2,37.78230734004043,-122.39152475810528,10.0
SF-J1,37.772928889576896,-122.509057270898,12.0
SF-J10,37.773388881484415,-122.47127448290922,71.0
SF-J12,37.77511984673831,-122.46498940303863,71.0
SF-J13,37.775328939668114,-122.45809451432896,73.0
SF-J14,37.77761239914182,-122.45464310329437,88.0
SF-J15,37.776141375880364,-122.45310843711509,100.0
SF-J16,37.774819351918524,-122.44662584232641,74.0
SF-J17,37.77739215010106,-122.44193795080817,72.0
SF-J18,37.77595557934698,-122.43771296848948,61.0
SF-J19,37.77762589338728,-122.43321177413011,51.0
SF-J20,37.77712548161436,-122.42959694544092,35.0
SF-J21,37.77624031798249,-122.42621581396179,24.0
SF-J22-1,37.774120534359284,-122.42384071615601,22.0
SF-J22-2,37.77787783014363,-122.42290774449751,22.0
SF-J23-1,37.77680420811821,-122.41742761093796,17.0
SF-J26,37.77772844816792,-122.40632610898821,4.0
SF-J3,37.77550077635324,-122.49846730911696,54.0
SF-J5,37.77568337864079,-122.49407637216842,62.0
SF-K15-,37.77195388696156,-122.45370257177096,78.0
SF-K17,37.77361931966353,-122.44259774710847,67.0
SF-K17-2,37.77052458504266,-122.44235999487144,86.0
SF-K18,37.773108856268436,-122.43911952809759,63.0
SF-K19,37.77236879940353,-122.4358523982105,53.0
SF-K20,37.771871812809636,-122.43376294090632,46.0
SF-K21,37.77345913924053,-122.42721599814023,51.0
SF-K22-1,37.77383217911629,-122.4211477755196,17.0
SF-K22-2,37.7716763671411,-122.42230870699852,15.0
SF-L19,37.76921243702781,-122.43397025331663,53.0
SF-L20,37.76979790709627,-122.42915671335184,39.0
SF-L21,37.769246218222044,-122.42695986600019,35.0
SF-L22,37.7690745788419,-122.42226314041798,14.0
SF-M10,37.76399151345739,-122.47065551281372,76.0
SF-M11,37.76421586462092,-122.46738788086645,81.0
SF-M12,37.7635212360003,-122.46409991410793,89.0
SF-M13,37.76579640081468,-122.45758892282772,88.0
SF-M15,37.76593774309392,-122.44925288305694,90.0
SF-M20,37.76625001626674,-122.43109765146673,39.0
SF-M21,37.766106849287326,-122.4266480332656,23.0
SF-M22-2,37.765367762854474,-122.42192120656011,14.0
SF-M25,37.76710032954188,-122.41066219668232,15.0
SF-M26,37.767087608162335,-122.40738000236635,12.0
SF-N20-1,37.76429102755908,-122.43189837808417,39.0
SF-N20-2,37.76327452678575,-122.43071376091277,30.0
SF-N21,37.763044203302414,-122.42656880134143,20.0
SF-N22-2,37.763324230186456,-122.42203743298364,14.0
SF-N25,37.76454258637472,-122.41035894038923,19.0
SF-N26,37.76338562468765,-122.40740776832888,22.0
SF-N27,37.76440101076771,-122.40256719382008,11.0
SF-N28,37.76497537865507,-122.39902195662776,7.0
SF-N29,37.764792920068004,-122.39479564625843,10.0
SF-O12,37.75873658602149,-122.46376840591392,111.0
SF-O18,37.75921000628935,-122.43679688574404,49.0
SF-O19,37.76107371861353,-122.43251084036088,29.0
SF-O21,37.761406315546864,-122.42652399710188,18.0
SF-O22,37.75918079768269,-122.42140302347006,18.0
SF-O30,37.761628934312355,-122.39076566084779,13.0
SF-O30-2,37.760326852380956,-122.38745886190479,10.0
SF-P21,37.75823703129212,-122.42611747932315,35.0
SF-P22,37.756697597646976,-122.42110590539228,23.0
SF-P26,37.75682403970456,-122.4059697077562,20.0
SF-P30,37.75770898215653,-122.39190323113387,12.0
SF-Q21-1,37.755016031363596,-122.42582110151504,40.0
SF-Q21-2,37.751798426905864,-122.42656585515678,54.0
SF-Q22-1,37.75515283116136,-122.4209929078377,25.0
SF-Q22-2,37.75243749152701,-122.42065846871452,27.0
SF-Q23-3,37.75213148707474,-122.41988270934469,25.0
SF-Q26,37.75324284848488,-122.40549626634753,17.0
SF-R19,37.75053077096776,-122.43383882946227,60.0
SF-R20,37.750912582469134,-122.42757211703699,48.0
SF-R24,37.75096129989706,-122.41208367438256,17.0
SF-R26,37.75182225477091,-122.4053450336939,15.0
SF-S21,37.7478298454902,-122.42504582627458,38.0
SF-S22-1,37.74778888691979,-122.42019613037972,22.0
SF-S22-2,37.745785294056894,-122.42215963125506,28.0
SF-S24,37.74729821660555,-122.41140456056179,13.0
SF-T20,37.74370319929828,-122.42687309052624,39.0
SF-T21,37.74233604455783,-122.42305883163263,36.0
SF-T22,37.74403513954547,-122.42154879106064,30.0
SF-U21,37.73983007824744,-122.42544772016635,58.0
SF-V28,37.7370380891473,-122.39448726744179,18.0
SF-V29,37.73895569013418,-122.38956180412715,8.0
SF-V30,37.739827082219065,-122.38566439076456,7.0
SF-V31,37.740051822463776,-122.38343824637676,7.0
SF-V32,37.74041033545552,-122.37666857528161,4.0
SF-W14,37.73169760343285,-122.45112081113555,114.0
SF-W19,37.73287344261949,-122.43415416492597,59.0
SF-W19-2,37.73494112403101,-122.42981408139536,66.0
SF-W29,37.73628652714912,-122.38990572053585,17.0
SF-W8,37.7310865,-122.47623675694445,62.0
SF-X14,37.72829706785464,-122.45040095705835,102.0
SF-X19,37.730157772589905,-122.43290044146984,37.0
SF-X29,37.733106412762645,-122.39097152309715,27.0
SF-X30,37.73172669352169,-122.39005565643309,25.0
SF-Y14,37.72598208068022,-122.45246079022941,99.0
SF-Y25,37.72713994566898,-122.4066641851972,27.0
SF-Y27,37.73009777777777,-122.39880161111112,18.0
SF-Y29,37.7292632955191,-122.39302288473394,15.0
SF-Y30,37.729383478308634,-122.38655519493608,16.0
SF-Z16,37.72239653261201,-122.44378018880873,56.0
SF-Z6,37.72201776543209,-122.48275428395064,31.0
SF Depot,37.754840460372854,-122.38975180352637,5.0
