station_id,station_latitude,station_longitude,station_elevation
16th Depot Bike Station,37.766337,-122.39605433333334,0.0
16th St Depot,37.7547985,-122.38967983333332,-24.0
SF I29-1,37.783171989315306,-122.39357203245164,-10.0
SF-A19,37.80523033333333,-122.437259,-26.0
SF-A20,37.80427201985148,-122.43353694677351,-19.0
SF-A22,37.805481,-122.42290433333334,-10.0
SF-A25,37.8061595,-122.4120595,0.0
SF-A26,37.807233833333335,-122.40914783333334,-26.0
SF-A27,37.80477,-122.403234,-26.0
SF-AA15,37.72055498872064,-122.4477231502533,42.0
SF-AA28,37.72269083333333,-122.3924585,-23.0
SF-B19,37.802612,-122.4361355,-24.0
SF-B21,37.80026166666666,-122.425803,-7.0
SF-B22,37.80228838614797,-122.4245086312294,-1.0
SF-B25,37.80274615250053,-122.41357862949371,-22.0
SF-B28,37.804648,-122.402087,-26.0
SF-B28-2,37.80219785244911,-122.40177154541014,-25.0
SF-BB17,37.71629283333333,-122.44002283333332,31.0
SF-C20,37.799207926286,-122.43412166833876,-18.0
SF-C21,37.797249,-122.427457,1.0
SF-C22,37.79762790889688,-122.423534989357,4.0
SF-C25,37.800496036682574,-122.41088703274724,-6.0
SF-C26,37.79801364395978,-122.40595042705534,-8.0
SF-C26-1,37.797846666666665,-122.40586933333331,0.0
SF-C28-1,37.799954,-122.3985265,-25.0
SF-C28-2,37.79877366666667,-122.40092116666666,-22.0
SF-D24,37.796470691622936,-122.4168576300144,26.0
SF-D27,37.795187,-122.404524,-18.0
SF-D28,37.79725,-122.39850733333331,-25.0
SF-D29,37.7963894,-122.3945855,-25.0
SF-E18,37.789688,-122.440688,39.0
SF-E20,37.790593666666666,-122.432498,40.0
SF-E23,37.79416044174933,-122.42156758904456,26.0
SF-E27,37.794075166666666,-122.403073,-20.0
SF-E28,37.795001,-122.39997,-26.0
SF-E28-2,37.79317983333333,-122.39879683333334,-25.0
SF-E29-1,37.795392,-122.394203,-25.0
SF-E29-2,37.794573,-122.39487116666666,-25.0
SF-E29-3,37.792251,-122.397086,-25.0
SF-F15,37.786603166666666,-122.45338366666668,46.0
SF-F16,37.7866625,-122.45004633333332,53.0
SF-F19,37.7884205,-122.43535016666668,15.0
SF-F23,37.78819533333333,-122.4204525,15.0
SF-F26,37.788299978150825,-122.40853071212769,-6.0
SF-F27,37.7890955,-122.403498,-14.0
SF-F28-1,37.791308666666666,-122.39897483333333,-24.0
SF-F28-2,37.7896254,-122.400811,-19.0
SF-F29,37.789756,-122.394643,-24.0
SF-F30-1,37.791464,-122.391034,-25.0
SF-F30-2,37.789677,-122.390429,-26.0
SF-F9,37.78505083333334,-122.477628,9.0
SF-G10-1,37.78242,-122.47197066666666,21.0
SF-G10-2,37.78040883333333,-122.472844,21.0
SF-G11,37.781840715520495,-122.46763586997984,24.0
SF-G12,37.78243851977672,-122.4653774499893,25.0
SF-G13,37.78146761537824,-122.45880603790285,32.0
SF-G17,37.783994,-122.4427075,22.0
SF-G18,37.78438883333333,-122.4394285,10.0
SF-G19,37.783738,-122.4345355,9.0
SF-G20,37.785353666666666,-122.43185733333334,8.0
SF-G23,37.78543382786823,-122.41962164640428,6.0
SF-G24,37.78744016666667,-122.416763,13.0
SF-G25,37.78733866666666,-122.41334983333331,8.0
SF-G26,37.78588062694133,-122.4089150084319,-16.0
SF-G27,37.7863455,-122.405428,-14.0
SF-G28-1,37.78692825678771,-122.39811301231384,-22.0
SF-G28-2,37.786603,-122.40013183333332,-21.0
SF-G29-1,37.7876795,-122.3984615,-23.0
SF-G29-2,37.786932666666665,-122.394583,-15.0
SF-G29-3,37.78808266666667,-122.39545916666668,-21.0
SF-G30-1,37.7880593,-122.3918648,-23.0
SF-G30-2,37.78716801474664,-122.38809792330358,-25.0
SF-G5,37.7816975,-122.49276566666668,31.0
SF-G6,37.77951866666667,-122.48788616666668,24.0
SF-G7,37.78199,-122.482807,10.0
SF-G8,37.780111,-122.480389,12.0
SF-G9,37.78071988575564,-122.47610360383987,14.0
SF-H0,37.775334,-122.51120416666669,0.0
SF-H12,37.77948760924334,-122.4631418287754,26.0
SF-H13,37.778486986397496,-122.45864510536192,34.0
SF-H14,37.78087683333333,-122.45628933333332,37.0
SF-H15,37.78066566666666,-122.45039316666669,44.0
SF-H16,37.78117366666667,-122.44717033333332,52.0
SF-H17,37.782551,-122.442325,31.0
SF-H18,37.7824046019341,-122.43944585323337,18.0
SF-H19,37.78202083333333,-122.43563066666668,7.0
SF-H20,37.783414666666665,-122.43109183333334,8.0
SF-H24,37.78188466666667,-122.4153645,-11.0
SF-H25,37.783964833333336,-122.41193683333331,-17.0
SF-H26,37.78389935708493,-122.4084448814392,-18.0
SF-H26-2,37.78227952975499,-122.40731298923492,-17.0
SF-H27-1,37.78487208436062,-122.40087568759915,-20.0
SF-H28,37.78383216666667,-122.398781,-18.0
SF-H29,37.78537659381944,-122.39690601825714,-14.0
SF-H30,37.78292608704408,-122.38792061805724,-25.0
SF-I16,37.779046658472055,-122.44729131460188,57.0
SF-I19,37.77913933333333,-122.437021,19.0
SF-I20,37.78054433333333,-122.43178783333332,3.0
SF-I21,37.77835216666666,-122.42647883333332,-4.0
SF-I22,37.7807871267462,-122.4219337105751,-6.0
SF-I23-1,37.78127,-122.41874,-9.0
SF-I23-2,37.778851,-122.4181575,-10.0
SF-I24,37.77882616666667,-122.41586516666666,-13.0
SF-I25,37.7810737,-122.4117382,-15.0
SF-I26-,37.780304,-122.406609,-23.0
SF-I27,37.78064509250312,-122.40286588668825,-24.0
SF-I28,37.780972166666665,-122.400603,-25.0
SF-I29-2,37.7807601,-122.3949894,-23.0
SF-I30,37.780500833333335,-122.3903095,-22.0
SF-I30-2,37.782123166666665,-122.39166166666666,-16.0
SF-J1,37.77283166666667,-122.509018,-7.0
SF-J10,37.77326317603698,-122.47123003005984,39.0
SF-J12,37.77517550658666,-122.46500730514526,38.0
SF-J13,37.775343166666666,-122.45815833333332,40.0
SF-J14,37.777609310293336,-122.4546217918396,57.0
SF-J15,37.77610091264586,-122.4530929327011,72.0
SF-J16,37.77483629413345,-122.44654566049576,42.0
SF-J17,37.7774157,-122.4418376,40.0
SF-J18,37.775946,-122.4377775,30.0
SF-J19,37.77754677017323,-122.43327409029006,17.0
SF-J20,37.7770527,-122.4295585,3.0
SF-J21,37.7762975,-122.42627733333332,-8.0
SF-J22-1,37.774017937683546,-122.4238085746765,-9.0
SF-J22-2,37.77787007022392,-122.42295295000076,-7.0
SF-J23-1,37.7769505,-122.4174445,-14.0
SF-J23-2,37.77486016666667,-122.4189555,-14.0
SF-J24,37.77452040113685,-122.4094493687153,-21.0
SF-J25,37.7765126,-122.4113061,-21.0
SF-J26,37.77779057034257,-122.40643188357352,0.0
SF-J26-2,37.77666378283064,-122.40790843963624,-24.0
SF-J27,37.775910222333366,-122.40257500673576,-26.0
SF-J28-2,37.77796,-122.39700633333334,-25.0
SF-J29,37.776598,-122.395282,-25.0
SF-J29-1,37.77874161153677,-122.39274082710836,-22.0
SF-J29-3,37.77633683333333,-122.39452466666668,-25.0
SF-J3,37.775522,-122.498498,23.0
SF-J5,37.775676,-122.49411216666668,32.0
SF-K15-,37.77196983333333,-122.4536875,46.0
SF-K17,37.77331087889723,-122.44429260492323,38.0
SF-K17-2,37.77051133333333,-122.44241033333331,55.0
SF-K18,37.77319133333334,-122.43917966666666,32.0
SF-K19,37.77237483333333,-122.43579116666666,23.0
SF-K20,37.771970333333336,-122.4337795,16.0
SF-K21,37.77341396997343,-122.427316904068,19.0
SF-K22-1,37.7737932060887,-122.42123901844025,-13.0
SF-K22-2,37.77166246221617,-122.42242321372034,-16.0
SF-K23,37.77230334819668,-122.41979598999023,-20.0
SF-K24,37.7735069,-122.4160402,-19.0
SF-K25,37.7737172,-122.4116467,-17.0
SF-K26,37.77146716666667,-122.40580666666666,-24.0
SF-K27,37.773392,-122.40354516666666,-23.0
SF-K27-2,37.77265787707061,-122.40368127822876,-24.0
SF-K28,37.77523486860597,-122.39743709564208,-27.0
SF-K28-3,37.773238,-122.399998,-25.0
SF-K29-1,37.77588,-122.39317,-24.0
SF-K30-2,37.7719996,-122.3899698,-25.0
SF-L19,37.7692005,-122.4338119,21.0
SF-L20,37.76979266666667,-122.42916983333332,5.0
SF-L21,37.7693053,-122.4268256,5.0
SF-L22,37.769188178104585,-122.42228507995604,-18.0
SF-L24,37.769757,-122.415674,-23.0
SF-L25,37.76998733333333,-122.41181416666667,-22.0
SF-L26,37.76921786152374,-122.40764558315276,-24.0
SF-L27,37.771058,-122.402717,-25.0
SF-L27-2,37.77122901793374,-122.40088641643524,-25.0
SF-L28,37.77189633333333,-122.3983755,-26.0
SF-L29,37.772300631747626,-122.3930275440216,-26.0
SF-L30-1,37.7704074,-122.3911984,-26.0
SF-L31-1,37.771329594195095,-122.38662242889404,-25.0
SF-M10,37.76393402521409,-122.47065067291258,45.0
SF-M11,37.76409093429919,-122.46737837791444,49.0
SF-M12,37.76356583333333,-122.46408766666669,58.0
SF-M13,37.76578683333334,-122.45755666666666,58.0
SF-M15,37.7659355,-122.449339,63.0
SF-M20,37.7662185,-122.4310597,7.0
SF-M21,37.766055,-122.4267025,-7.0
SF-M22-1,37.768252333333336,-122.420254,-23.0
SF-M22-2,37.76513883333333,-122.42197916666667,-16.0
SF-M24,37.7670373,-122.4154425,-23.0
SF-M25,37.7671,-122.410662,-15.0
SF-M26,37.7671235,-122.40727183333334,-19.0
SF-M26-2,37.76858266666667,-122.4040995,-25.0
SF-M27,37.76683083333333,-122.39957816666669,-24.0
SF-M28,37.76664816666667,-122.3981455,-24.0
SF-M30,37.76704457969368,-122.39083349704742,0.0
SF-M30-2,37.76945533333333,-122.38626916666666,-25.0
SF-N20-1,37.7643265,-122.43196383333331,8.0
SF-N20-2,37.7632417,-122.4306746,1.0
SF-N21,37.7630152,-122.4264968,-5.0
SF-N22-1A,37.76471008581914,-122.41995692253111,-20.0
SF-N22-1B,37.76484833333333,-122.42012866666668,-20.0
SF-N22-2,37.76332433333334,-122.42202033333334,-16.0
SF-N23,37.7637275,-122.41560533333332,-22.0
SF-N24-2,37.763618666666666,-122.41299933333332,-22.0
SF-N25,37.764555,-122.410345,-7.0
SF-N26,37.76328094058097,-122.4073773622513,-8.0
SF-N27,37.76438233333333,-122.402658,-23.0
SF-N28,37.7650259,-122.3987734,-22.0
SF-N29,37.7648022,-122.3947713,-23.0
SF-O12,37.75871966666666,-122.46374216666666,78.0
SF-O18,37.7591769,-122.4369431,20.0
SF-O19,37.7610785,-122.43244916666669,2.0
SF-O21,37.7613885,-122.42648283333334,-13.0
SF-O22,37.759063,-122.42140016666669,-3.0
SF-O23,37.760299,-122.418892,-18.0
SF-O24,37.760737166666665,-122.41487166666668,-21.0
SF-O25-1,37.76041333333333,-122.4108165,-20.0
SF-O25-2,37.7592005,-122.409851,-19.0
SF-O30,37.7616343,-122.3906477,-9.0
SF-O30-2,37.76045755543481,-122.38753974437712,-20.0
SF-P21,37.7581985,-122.42604116666666,7.0
SF-P22,37.7567083,-122.421025,0.0
SF-P24,37.758893,-122.41255433333332,-20.0
SF-P26,37.75678466666667,-122.405979,-10.0
SF-P30,37.75765883333333,-122.3920215,-15.0
SF-Q21-1,37.754968833333336,-122.42573766666666,8.0
SF-Q21-2,37.751788,-122.42650883333332,23.0
SF-Q22-1,37.755116666666666,-122.42104916666666,0.0
SF-Q22-2,37.7524875,-122.420633,-11.0
SF-Q23-3,37.752104984423575,-122.41972357034685,-10.0
SF-Q26,37.75312346009645,-122.40539252758025,-12.0
SF-Q30,37.755367132158526,-122.38879501819608,-24.0
SF-R19,37.750506,-122.4339496,32.0
SF-R20,37.7509004,-122.4274114,18.0
SF-R24,37.7510171,-122.4119009,-12.0
SF-R26,37.75178983333333,-122.40563483333334,-16.0
SF-S21,37.7478584,-122.4249863,8.0
SF-S22-1,37.74772216666667,-122.4201815,-6.0
SF-S22-2,37.745806,-122.422147,-3.0
SF-S24,37.74730933333333,-122.41144916666669,-17.0
SF-S29,37.7504343570623,-122.39044725894928,-25.0
SF-S30,37.750108,-122.386502,-26.0
SF-T20,37.7436839,-122.4268059,9.0
SF-T21,37.7423425,-122.42285283333334,6.0
SF-T22,37.7440667,-122.4214722,1.0
SF-U21,37.73984416666666,-122.42546216666666,30.0
SF-U30,37.742232,-122.386843,-25.0
SF-V28,37.7368516211844,-122.3942506313324,-11.0
SF-V29,37.73850433333333,-122.38970833333332,-24.0
SF-V30,37.739853333333336,-122.38563883333332,-7.0
SF-V31,37.74004966666666,-122.3834875,-22.0
SF-V32,37.740554,-122.3764865,-25.0
SF-W14,37.73167,-122.45113816666668,81.0
SF-W19,37.73296366666667,-122.434227,26.0
SF-W19-2,37.734966,-122.429772,35.0
SF-W29,37.73629587217104,-122.3899698257446,-14.0
SF-W8,37.731039,-122.47623833333331,30.0
SF-X14,37.7283125,-122.45037533333333,69.0
SF-X19,37.730174,-122.432895,6.0
SF-X29,37.73309966666667,-122.39097216666669,-3.0
SF-X30,37.73174483333333,-122.38999433333332,0.0
SF-Y14,37.7258897887525,-122.45244383811948,66.0
SF-Y25,37.7272865,-122.40668266666668,-5.0
SF-Y27,37.7300815,-122.39885533333332,-13.0
SF-Y29,37.72927865173028,-122.39289611577988,-15.0
SF-Y30,37.72939320661727,-122.38653659820557,-7.0
SF-Z16,37.72255483333333,-122.44372666666666,26.0
SF-Z28,37.725403666666665,-122.39405783333332,-23.0
SF-Z6,37.722001,-122.482735,1.0
SF-Z7,37.720964,-122.4787935,10.0
